ja,mn,en
テクノロジーで地域課題を解決する、モンゴル発のシビックテック,"Технологиор орон нутгийн асуудлыг шийдэх, Монголын гаралтай Civic Tech",A civic tech from Mongolia solving local issues with technology
プロジェクト,Төсөл,Projects
モンゴルXRグルメ,Монгол XR Гурман,Mongolian XR Gourmet
モンゴルの料理の3Dモデルデータを集めバーチャルで楽しめるアプリ,Монгол хоолны 3D загваруудыг цуглуулж виртуал орчинд амтлах апп,An app to collect and enjoy 3D models of Mongolian cuisine virtually
プロジェクト例,Төслийн жишээ,Project Examples
モンゴルイベントカレンダー,Монгол арга хэмжээний хуанли,Mongolian Event Calendar
モンゴル内のイベント集約し、地域・種別・日付から最適なものを表示,"Монгол дахь арга хэмжээг нэгтгэн, бүс нутаг, төрөл, огноогоор нь үзүүлнэ","Aggregates events in Mongolia and shows the best match by region, type, and date"
デジタル遊牧図書館,Цахим нүүдлийн номын сан,Digital Nomad Library
遠隔地の子どもたちにプログラミング教材や本を届けるプラットフォーム,Алслагдсан газрын хүүхдүүдэд программчлалын сурах бичиг болон ном хүргэх платформ,A platform to deliver programming materials and books to children in remote areas
学校トイレ混雑可視化,Сургуулийн бие засах газрын ачаалал харуулах,School Toilet Occupancy Visualization
センサーを使って、トイレの空き状況をリアルタイムで表示,Мэдрэгч ашиглан бие засах газрын сул орон зайг бодит цаг хугацаанд харуулна,Displays real-time toilet availability using sensors
ごみ収集日カレンダー,Хог хаягдлын цуглуулах өдрийн хуанли,Garbage Collection Day Calendar
区ごとに異なるごみの収集日を、スマホで簡単確認できるアプリ,Дүүрэг бүрийн өөр хог цуглуулах өдрийг гар утсаар хялбархан шалгах боломжтой апп,An app to easily check garbage collection days by district on your phone
一緒にやってみませんか？,Хамтдаа хийж үзэх үү?,Would you like to join us?
地域をより良くしたい人。良くするアイデアを持っている人。,Орон нутгаа сайжруулахыг хүсдэг хүн. Сайжруулах санаатай хүн.,People who want to improve their communities. People who have ideas to make them better.
デザイン力、マーケティング力、技術力など、実践を通じてスキルを伸ばしたい人。,"Дизайны ур чадвар, маркетингийн чадвар, техникийн мэдлэгээ бодитоор хөгжүүлэхийг хүсэгчид.","Those who want to improve their skills in design, marketing, and technology through real-world practice."
学生・社会人・行政・企業、誰でも参加できます！,"Оюутан, ажилтан, төрийн байгууллага, компани гээд хэн ч оролцох боломжтой!","Students, professionals, government, companies – anyone can participate!"
にご参加ください。,д нэгдээрэй.,Please join us.  
モンゴルの料理の3Dモデルデータを集める,Монгол хоолны 3D загварын өгөгдлийг цуглуулах,Collect 3D model data of Mongolian cuisine  
こどもプログラミング,Хүүхдийн программчлал,Children's programming  
モンゴルのこどもたちにプログラミングの楽しさを伝える,Монголын хүүхдүүдэд программчлалын хөгжилтэй талыг хүргэх,Introduce the fun of programming to children in Mongolia